simulation_id,csv_path,matches,included,reason
1,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_001/season_001.csv,379,True,OK
2,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_002/season_002.csv,377,True,OK
3,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_003/season_003.csv,378,True,OK
4,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_004/season_004.csv,377,True,OK
5,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_005/season_005.csv,380,True,OK
6,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_006/season_006.csv,380,True,OK
7,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_007/season_007.csv,379,True,OK
8,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_008/season_008.csv,379,True,OK
9,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_009/season_009.csv,380,True,OK
10,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_010/season_010.csv,380,True,OK
11,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_011/season_011.csv,380,True,OK
12,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_012/season_012.csv,379,True,OK
13,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_013/season_013.csv,380,True,OK
14,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_014/season_014.csv,379,True,OK
15,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_015/season_015.csv,380,True,OK
16,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_016/season_016.csv,380,True,OK
17,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_017/season_017.csv,379,True,OK
18,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_018/season_018.csv,379,True,OK
19,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_019/season_019.csv,380,True,OK
20,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_020/season_020.csv,379,True,OK
21,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_021/season_021.csv,380,True,OK
22,/Users/gabrielebagaglini/fm26_automation/fm26_giornata_1/full_season_vanilla/seasons/season_022/season_022.csv,380,True,OK
